rank,album,artist
1,"I Dreamed A Dream","Susan Boyle"
2,"Recovery","Eminem"
3,"Need You Now","Lady Antebellum"
4,"The Fame","Lady Gaga"
5,"My World 2.0","Justin Bieber"
6,"My Christmas","Andrea Bocelli"
7,"Fearless","Taylor Swift"
8,"My World (EP)","Justin Bieber"
9,"Speak Now","Taylor Swift"
10,"The E.N.D.","The Black Eyed Peas"
11,"The Element Of Freedom","Alicia Keys"
12,"Play On","Carrie Underwood"
13,"The Fame Monster (EP)","Lady Gaga"
14,"Soldier Of Love","Sade"
15,"Crazy Love","Michael Buble"
16,"Thank Me Later","Drake"
17,"The Foundation","Zac Brown Band"
18,"Raymond V Raymond","Usher"
19,"Battle Studies","John Mayer"
20,"Animal","Ke$ha"
21,"Rated R","Rihanna"
22,"Michael Jackson's This Is It (Soundtrack)","Michael Jackson"
23,"Glee: Season One: The Music Volume 1","Soundtrack"
24,"Stronger withEach Tear","Mary J. Blige"
25,"Lady Antebellum","Lady Antebellum"
26,"Glee: Season One: The Music Volume 2","Soundtrack"
27,"Revolution","Miranda Lambert"
28,"The Fall","Norah Jones"
29,"For Your Entertainment","Adam Lambert"
30,"NOW 32","Various Artists"
31,"The Twilight Saga: New Moon","Soundtrack"
32,"Ocean Eyes","Owl City"
33,"To The Sea","Jack Johnson"
34,"Rebirth","Lil Wayne"
35,"The Chipmunks Sing The Beatles Hits","The Chipmunks"
36,"NOW That's What I Call Country Vol. 2","Various Artists"
37,"Until The Whole World Hears","Casting Crowns"
38,"The Time Of Our Lives (EP)","Miley Cyrus"
39,"Number Ones","Michael Jackson"
40,"Teenage Dream","Katy Perry"
41,"Wide Open","Jason Aldean"
42,"Dark Horse","Nickelback"
43,"Relapse","Eminem"
44,"The Blueprint 3","Jay-Z"
45,"Battle Of The Sexes","Ludacris"
46,"We Are Young Money","Young Money"
47,"Kiss and Tell","Selena Gomez & The Scene"
48,"Still Standing","Monica"
49,"Glee: The Music, Volume 3: Showstoppers","Soundtrack"
50,"Only By The Night","Kings Of Leon"
51,"Ready","Trey Songz"
52,"Passion, Pain & Pleasure","Trey Songz"
53,"A Thousand Suns","Linkin Park"
54,"Live At The Troubadour","Carole King & James Taylor"
55,"Teflon Don","Rick Ross"
56,"Learn To Live","Darius Rucker"
57,"Save Me, San Francisco","Train"
58,"The Twilight Saga: Eclipse","Soundtrack"
59,"Leave This Town","Daughtry"
60,"I Am Not A Human Being","Lil Wayne"
61,"B.o.B Presents: The Adventures Of Bobby Ray","B.o.B"
62,"Taylor Swift","Taylor Swift"
63,"NOW That's What I Call Country Vol. 2","Various Artists"
64,"Funhouse","P!nk"
65,"Iron Man 2 (Soundtrack)","AC/DC"
66,"Southern Voice","Tim McGraw"
67,"Before I Self-Destruct","50 Cent"
68,"Sex Therapy: The Session","Robin Thicke"
69,"The Incredible Machine","Sugarland"
70,"The Taylor Swift Holiday Collection","Taylor Swift"
71,"The Oracle","Godsmack"
72,"Contra","Vampire Weekend"
73,"You Get What You Give","Zac Brown Band"
74,"Awake","Skillet"
75,"Hemingway's Whiskey","Kenny Chesney"
76,"Nightmare","Avenged Sevenfold"
77,"NOW That's What I Call Country Vol. 2","Various Artists"
78,"The State Vs. Radric Davis","Gucci Mane"
79,"Brothers","The Black Keys"
80,"The Suburbs","The Arcade Fire"
81,"Asylum","Disturbed"
82,"Hope For Haiti Now","Various Artists"
83,"Sigh No More","Mumford & Sons"
84,"I Am...Sasha Fierce","Beyoncé"
85,"Noel","Josh Groban"
86,"Another Round","Jaheim"
87,"Peace On Earth","Casting Crowns"
88,"The Circle","Bon Jovi"
89,"Plastic Beach","Gorillaz"
90,"If On A Winter's Night...","Sting"
91,"Doin' My Thing","Luke Bryan"
92,"Glee: The Music, Journey To Regionals (EP)","Soundtrack"
93,"WOW Hits 2010","Various Artists"
94,"Brand New Eyes","Paramore"
95,"Here I Am","Marvin Sapp"
96,"Wolfgang Amadeus Phoenix","Phoenix"
97,"Come Around Sundown","Kings Of Leon"
98,"The Resistance","Muse"
99,"Mojo","Tom Petty and The Heartbreakers"
100,"The Gift","Susan Boyle"
101,"Tonight","tobyMac"
102,"Dear Agony","Breaking Benjamin"
103,"Haywire","Josh Turner"
104,"The Sound Of Madness","Shinedown"
105,"Back To Me","Fantasia"
106,"Greatest Hits Live","Journey"
107,"Hannah Montana 2 (Soundtrack)/Meet Miley Cyrus","Miley Cyrus"
108,"Twilight","Soundtrack"
109,"Untitled","R. Kelly"
110,"American Saturday Night","Brad Paisley"
111,"Them Crooked Vultures","Them Crooked Vultures"
112,"The Essential Michael Jackson","Michael Jackson"
113,"Graffiti","Chris Brown"
114,"She Wolf","Shakira"
115,"Kris Allen","Kris Allen"
116,"This Is War","Thirty Seconds To Mars"
117,"The Bridge","Melanie Fiona"
118,"Hands All Over","Maroon 5"
119,"NEW AMERYKAH: Part Two: Return Of The Ankh","Erykah Badu"
120,"Crazy Heart","Soundtrack"
121,"Kidz Bop 18","Kidz Bop Kids"
122,"So Far Gone (EP)","Drake"
123,"My Kinda Party","Jason Aldean"
124,"Valleys Of Neptune","Jimi Hendrix"
125,"Easton Corbin","Easton Corbin"
126,"Broken Bells","Broken Bells"
127,"Man On The Moon: The End Of Day","Kid Cudi"
128,"Laws Of Illusion","Sarah McLachlan"
129,"Defying Gravity","Keith Urban"
130,"Can't Be Tamed","Miley Cyrus"
131,"#1s ... and Then Some","Brooks & Dunn"
132,"Breakthrough","Colbie Caillat"
133,"Good Evening New York City","Paul McCartney"
134,"Night Castle","Trans-Siberian Orchestra"
135,"Malice N Wonderland","Snoop Dogg"
136,"Jason Derulo","Jason Derulo"
137,"Thriller","Michael Jackson"
138,"Kidz Bop 17","Kidz Bop Kids"
139,"Bionic","Christina Aguilera"
140,"Intimacy: Album III","Kem"
141,"2010 Grammy Nominees","Various Artists"
142,"Keep On Loving You","Reba McEntire"
143,"Waking Up","OneRepublic"
144,"A Year Without Rain","Selena Gomez & The Scene"
145,"Legend","Bob Marley & The Wailers"
146,"Glee: The Music, The Power Of Madonna (EP)","Soundtrack"
147,"BLACKsummers'night","Maxwell"
148,"Greatest Hits II","Kenny Chesney"
149,"Shock Value II","Timbaland"
150,"Love On The Inside","Sugarland"
151,"The Man I Want To Be","Chris Young"
152,"War Is The Answer","Five Finger Death Punch"
153,"Life Starts Now","Three Days Grace"
154,"Scream","Ozzy Osbourne"
155,"Hillbilly Bone (EP)","Blake Shelton"
156,"Christmas Live","Mannheim Steamroller"
157,"Chronicle (The 20 Greatest Hits)","Creedence Clearwater Revival"
158,"The Generous Mr. Lovewell","MercyMe"
159,"Greatest Hits","Foo Fighters"
160,"Charleston, SC 1966","Darius Rucker"
161,"That Lonesome Song","Jamey Johnson"
162,"Soulbook","Rod Stewart"
163,"Gold and Green","Sugarland"
164,"Unstoppable","Rascal Flatts"
165,"Greatest Hits","Guns N' Roses"
166,"Memento Mori","Flyleaf"
167,"Get Off On The Pain","Gary Allan"
168,"Fever","Bullet For My Valentine"
169,"Camp Rock 2: The Final Jam","Soundtrack"
170,"Distant Relatives","Nas & Damian Marley"
171,"It's Time","Michael Buble"
172,"Backspacer","Pearl Jam"
173,"Buffet Hotel","Jimmy Buffett"
174,"Black Gives Way To Blue","Alice In Chains"
175,"Kaleidoscope Heart","Sara Bareilles"
176,"Exile On Main St.","The Rolling Stones"
177,"God Willin' & The Creek Don't Rise","Ray Lamontagne and The Pariah Dogs"
178,"American Ride","Toby Keith"
179,"The Sea","Corinne Bailey Rae"
180,"The Guitar Song","Jamey Johnson"
181,"Tha Carter III","Lil Wayne"
182,"All Or Nothing","Jay Sean"
183,"Sir Lucious Left Foot: The Son Of Chico Dusty","Big Boi"
184,"Let It Snow! (EP)","Michael Buble"
185,"Euphoria","Enrique Iglesias"
186,"Versus (EP)","Usher"
187,"Guitar Heaven: The Greatest Guitar Classics Of All Time","Santana"
188,"Call Me Irresponsible","Michael Buble"
189,"Cage The Elephant","Cage The Elephant"
190,"Glory In The Highest: Christmas Songs Of Worship","Chris Tomlin"
191,"Full Circle","Creed"
192,"Christmas Cheers","Straight No Chaser"
193,"Man On The Moon II: The Legend Of Mr. Rager","Kid Cudi"
194,"Freight Train","Alan Jackson"
195,"Songs From The Heart","Celtic Woman"
196,"Echo","Leona Lewis"
197,"Up On The Ridge","Dierks Bentley"
198,"The Script","The Script"
199,"Bullets In The Gun","Toby Keith"
200,"Judge Jerrod & The Hung Jury","Jerrod Niemann"
