rank,album,artist
1,"One Thing At A Time","Morgan Wallen"
2,"Midnights","Taylor Swift"
3,"SOS","SZA"
4,"Her Loss","Drake & 21 Savage"
5,"Dangerous: The Double Album","Morgan Wallen"
6,"Heroes & Villains","Metro Boomin"
7,"Un Verano Sin Ti","Bad Bunny"
8,"American Heartbreak","Zach Bryan"
9,"Lover","Taylor Swift"
10,"Utopia","Travis Scott"
11,"Speak Now (Taylor's Version)","Taylor Swift"
12,"Folklore","Taylor Swift"
13,"It's Only Me","Lil Baby"
14,"The Highlights","The Weeknd"
15,"Harry's House","Harry Styles"
16,"1989","Taylor Swift"
17,"Red (Taylor's Version)","Taylor Swift"
18,"Diamonds","Elton John"
19,"Manana Sera Bonito","Karol G"
20,"Gettin' Old","Luke Combs"
21,"reputation","Taylor Swift"
22,"Renaissance","Beyonce"
23,"Starboy","The Weeknd"
24,"My Turn","Lil Baby"
25,"Rumours","Fleetwood Mac"
26,"Sour","Olivia Rodrigo"
27,"Certified Lover Boy","Drake"
28,"Ctrl","SZA"
29,"Evermore","Taylor Swift"
30,"good kid, m.A.A.d city","Kendrick Lamar"
31,"This One's For You","Luke Combs"
32,"I Never Liked You","Future"
33,"Greatest Hits","Queen"
34,"If I Know Me","Morgan Wallen"
35,"Hollywood's Bleeding","Post Malone"
36,"Curtain Call: The Hits","Eminem"
37,"Genesis","Peso Pluma"
38,"Stick Season","Noah Kahan"
39,"Chronicle: The 20 Greatest Hits","Creedence Clearwater Revival Featuring John Fogerty"
40,"Goodbye & Good Riddance","Juice WRLD"
41,"DAMN.","Kendrick Lamar"
42,"Take Care","Drake"
43,"Fearless (Taylor's Version)","Taylor Swift"
44,"What You See Is What You Get","Luke Combs"
45,"Endless Summer Vacation","Miley Cyrus"
46,"Growin' Up","Luke Combs"
47,"Scorpion","Drake"
48,"Born To Die","Lana Del Rey"
49,"Barbie: The Album Soundtrack"
50,"Zach Bryan","Zach Bryan"
51,"2014 Forest Hills Drive","J. Cole"
52,"Guts","Olivia Rodrigo"
53,"Traveller","Chris Stapleton"
54,"IGOR","Tyler, The Creator"
55,"ANTI","Rihanna"
56,"Planet Her","Doja Cat"
57,"Call Me If You Get Lost","Tyler, The Creator"
58,"Graduation","Kanye West"
59,"Thriller","Michael Jackson"
60,"Views","Drake"
61,"The Mockingbird & The Crow","HARDY"
62,"Almost Healed","Lil Durk"
