rank,artist
1,Morgan Wallen
2,Kendrick Lamar
3,Taylor Swift
4,Sabrina Carpenter
5,SZA
6,Drake
7,Bad Bunny
8,Billie Eilish
9,"Tyler, The Creator"
10,The Weeknd
11,Shaboozey
12,Benson Boone
13,Chappell Roan
14,Teddy Swims
15,Post Malone
16,Lady Gaga
17,Tate McRae
18,Alex Warren
19,Bruno Mars
20,Gracie Abrams
21,Zach Bryan
22,Playboi Carti
23,Jelly Roll
24,"HUNTR/X:EJAE, Audrey Nuna & REI AMI"
25,BigXthaPlug
26,Luke Combs
27,Ariana Grande
28,Hozier
29,Justin Bieber
30,Doechii
31,Fuerza Regida
32,sombr
33,Rod Wave
34,Chris Stapleton
35,The Marias
36,GloRilla
37,Riley Green
38,Travis Scott
39,Ed Sheeran
40,Leon Thomas
41,Zach Top
42,Charli xcx
43,Megan Moroney
44,ROSE
45,Jessie Murph
46,Lola Young
47,PARTYNEXTDOOR
48,Myles Smith
49,Future
50,Chris Brown
51,Lil Baby
52,Olivia Rodrigo
53,Peso Pluma
54,Tito Double P
55,Juice WRLD
56,Bailey Zimmerman
57,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee"
58,Ella Langley
59,Linkin Park
60,Fleetwood Mac
61,Frank Ocean
62,Thomas Rhett
63,Noah Kahan
64,Forrest Frank
65,Ravyn Lenae
66,Rauw Alejandro
67,Cardi B
68,Neton Vega
69,Stray Kids
70,Coldplay
71,Lil Wayne
72,Sam Barber
73,Gigi Perez
74,Mariah Carey
75,Gunna
76,Michael Jackson
77,Eminem
78,Beyonce
79,Don Toliver
80,Summer Walker
81,Jimin
82,Mariah The Scientist
83,Rihanna
84,Sleep Token
85,Elton John
86,Cody Johnson
87,Tucker Wetmore
88,Metro Boomin
89,Lainey Wilson
90,Nat King Cole
91,Brenda Lee
92,Kane Brown
93,Eagles
94,Ye
95,Wham!
96,Lil Tecca
97,Bobby Helms
98,Michael Buble
99,Creedence Clearwater Revival
100,Creed
