rank,song,artist
1,"Happy","Pharrell Williams"
2,"Dark Horse","Katy Perry Featuring Juicy J"
3,"All Of Me","John Legend"
4,"Fancy","Iggy Azalea Featuring Charli XCX"
5,"Counting Stars","OneRepublic"
6,"Talk Dirty","Jason Derulo Featuring 2 Chainz"
7,"Rude","Magic!"
8,"All About That Bass","Meghan Trainor"
9,"Problem","Ariana Grande Featuring Iggy Azalea"
10,"Stay With Me","Sam Smith"
11,"Timber","Pitbull Featuring Kesha"
12,"Pompeii","Bastille"
13,"Shake It Off","Taylor Swift"
14,"Am I Wrong","Nico & Vinz"
15,"Turn Down For What","DJ Snake Featuring Lil Jon"
16,"The Monster","Eminem Featuring Rihanna"
17,"Say Something","A Great Big World Featuring Christina Aguilera"
18,"Team","Lorde"
19,"Let Her Go","Passenger"
20,"Royals","Lorde"
21,"Let It Go","Idina Menzel"
22,"Wake Me Up","Avicii"
23,"Demons","Imagine Dragons"
24,"Story Of My Life","One Direction"
25,"Chandelier","Sia"
26,"Black Widow","Iggy Azalea Featuring Rita Ora"
27,"Bang Bang","Jessie J & Ariana Grande & Nicki Minaj"
28,"Latch","Disclosure Featuring Sam Smith"
29,"Maps","Maroon 5"
30,"Loyal","Chris Brown Featuring Lil Wayne & French Montana"
31,"Best Day Of My Life","American Authors"
32,"Habits (Stay High)","Tove Lo"
33,"Summer","Calvin Harris"
34,"Boom Clap","Charli XCX"
35,"Drunk In Love","Beyonce Featuring Jay-Z"
36,"Anaconda","Nicki Minaj"
37,"Break Free","Ariana Grande Featuring Zedd"
38,"Bailando","Enrique Featuring Sean Paul"
39,"Burn","Ellie Goulding"
40,"Wiggle","Jason Derulo Featuring Snoop Dogg"
41,"Rather Be","Clean Bandit Featuring Jess Glynne"
42,"Don't Tell 'Em","Jeremih Featuring YG"
43,"Show Me","Kid Ink Featuring Chris Brown"
44,"Wrecking Ball","Miley Cyrus"
45,"Not A Bad Thing","Justin Timberlake"
46,"Roar","Katy Perry"
47,"Ain't It Fun","Paramore"
48,"The Man","Aloe Blacc"
49,"This Is How We Roll","Florida-Georgia Line Featuring Luke Bryan"
50,"Classic","MKTO"
51,"A Sky Full Of Stars","Coldplay"
52,"Don't","Ed Sheeran"
53,"Na Na","Trey Songz"
54,"Hot Boy","Bobby Shmurda"
55,"Hold On, We're Going Home","Drake Featuring Majid Jordon"
56,"Sing","Ed Sheeran"
57,"Radioactive","Imagine Dragons"
58,"My Hitta","YG Featuring Jeezy & Rich Homie Quan"
59,"Cool Kids","Echosmith"
60,"Hey Brother","Avicii"
61,"Trumpets","Jason Derulo"
62,"Animals","Maroon 5"
63,"Burnin' It Down","Jason Aldean"
64,"Play It Again","Luke Bryan"
65,"2 On You","Tinashe"
66,"Dirt","Florida-Georgia Line"
67,"Love Runs Out","OneRepublic"
68,"Bottoms Up","Brantley Gilbert"
69,"Shower","Becky G"
70,"Me And My Broken Heart","Rixton"
71,"Animals","Martin Garrix"
72,"Lifestyle","Rich Gang Presents Young Thug & Rich Homie Quan"
73,"American Kids","Kenny Chesney"
74,"Brave","Sara Bareilles"
75,"Sweater Weather","The Neighborhood"
76,"Leave The Night On","Sam Hunt"
77,"New Flame","Chris Brown Featuring Usher & Rick Ross"
78,"Love Never Felt So Good","Michael Jackson & Justin Timberlake"
79,"Drunk On A Plane","Dierks Bentley"
80,"Birthday","Katy Perry"
81,"Bartender","Lady Antebellum"
82,"La La La","Naughty Boy Featuring Sam Smith"
83,"Blurred Lines","Robin Thicke Featuring Pharrell Williams & T.I."
84,"Do What U Want","Lady GaGa Featuring R. Kelly"
85,"Can't Remember To Forget You","Shakira Featuring Rihanna"
86,"Amnesia","5 Seconds of Summer"
87,"No Mediocre","T.I. Featuring Iggy Azalea"
88,"Come With Me Now","Kongos"
89,"Believe Me","Lil Wayne Featuring Drake"
90,"23","Mike Will Made It Featuring Miley Cyrus & Wiz Khalifa"
91,"Beachin'","Jake Owen"
92,"White Walls","Macklemore & Ryan Lewis Featuring Schoolboy Q & Hollis"
93,"She Looks So Perfect","5 Seconds of Summer"
94,"Stay The Night","Zedd Featuring Hayley Williams"
95,"Partition","Beyonce"
96,"Studio","Schoolboy Q"
97,"0 To 100/The Catch Up","Drake"
98,"I Don't Dance","Lee Brice"
99,"Somethin' Bad","Miranda Lambert with Carrie Underwood"
100,"Adore You","Miley Cyrus"
