Here is the 2022 Billboard Year-End Hot 100 converted to CSV format. As before, the rank is a plain integer, and the song and artist values are wrapped in quotes.

rank,song,artist
1,"Heat Waves","Glass Animals"
2,"As It Was","Harry Styles"
3,"Stay","The Kid LAROI & Justin Bieber"
4,"Easy On Me","Adele"
5,"Shivers","Ed Sheeran"
6,"First Class","Jack Harlow"
7,"Big Energy","Latto"
8,"Ghost","Justin Bieber"
9,"Super Gremlin","Kodak Black"
10,"Cold Heart (PNAU Remix)","Elton John & Dua Lipa"
11,"Wait For U","Future Featuring Drake & Tems"
12,"About Damn Time","Lizzo"
13,"Bad Habits","Ed Sheeran"
14,"Thats What I Want","Lil Nas X"
15,"Enemy","Imagine Dragons X JID"
16,"Industry Baby","Lil Nas X & Jack Harlow"
17,"abcdefu","GAYLE"
18,"Need To Know","Doja Cat"
19,"Wasted On You","Morgan Wallen"
20,"Me Porto Bonito","Bad Bunny & Chencho Corleone"
21,"Woman","Doja Cat"
22,"Titi Me Pregunto","Bad Bunny"
23,"Running Up That Hill (A Deal With God)","Kate Bush"
24,"We Don't Talk About Bruno","Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
25,"Late Night Talking","Harry Styles"
26,"I Like You (A Happier Song)","Post Malone Featuring Doja Cat"
27,"You Proof","Morgan Wallen"
28,"Bad Habit","Steve Lacy"
29,"Sunroof","Nicky Youre & dazy"
30,"One Right Now","Post Malone & The Weeknd"
31,"Good 4 U","Olivia Rodrigo"
32,"Numb Little Bug","Em Beihold"
33,"Jimmy Cooks","Drake Featuring 21 Savage"
34,"'Til You Can't","Cody Johnson"
35,"Fancy Like","Walker Hayes"
36,"The Kind Of Love We Make","Luke Combs"
37,"I Ain't Worried","OneRepublic"
38,"Break My Soul","Beyonce"
39,"Something In The Orange","Zach Bryan"
40,"Save Your Tears","The Weeknd & Ariana Grande"
41,"Smokin Out The Window","Silk Sonic (Bruno Mars & Anderson .Paak)"
42,"Levitating","Dua Lipa"
43,"In A Minute","Lil Baby"
44,"Moscow Mule","Bad Bunny"
45,"You Right","Doja Cat & The Weeknd"
46,"She Had Me At Heads Carolina","Cole Swindell"
47,"Vegas","Doja Cat"
48,"Pushin P","Gunna & Future Featuring Young Thug"
49,"Buy Dirt","Jordan Davis Featuring Luke Bryan"
50,"I Hate U","SZA"
51,"Boyfriend","Dove Cameron"
52,"Glimpse Of Us","Joji"
53,"Surface Pressure","Jessica Darrow"
54,"Fall In Love","Bailey Zimmerman"
55,"Love Nwantiti (Ah Ah Ah)","CKay"
56,"Super Freaky Girl","Nicki Minaj"
57,"Hrs And Hrs","Muni Long"
58,"Sand In My Boots","Morgan Wallen"
59,"MAMIII","Becky G X Karol G"
60,"Knife Talk","Drake Featuring 21 Savage & Project Pat"
61,"AA","Walker Hayes"
62,"Sweetest Pie","Megan Thee Stallion & Dua Lipa"
63,"Provenza","Karol G"
64,"Essence","Wizkid Featuring Justin Bieber & Tems"
65,"All I Want For Christmas Is You","Mariah Carey"
66,"Bam Bam","Camila Cabello Featuring Ed Sheeran"
67,"5 Foot 9","Tyler Hubbard"
68,"Get Into It (Yuh)","Doja Cat"
69,"Efecto","Bad Bunny"
70,"Rock And A Hard Place","Bailey Zimmerman"
71,"Doin' This","Luke Combs"
72,"Oh My God","Adele"
73,"Better Days","NEIKED X Mae Muller X Polo G"
74,"Meet Me At Our Spot","THE ANXIETY: WILLOW & Tyler Cole"
75,"Fingers Crossed","Lauren Spencer-Smith"
76,"All Too Well (Taylor's Version)","Taylor Swift"
77,"Party","Bad Bunny & Rauw Alejandro"
78,"Despues de La Playa","Bad Bunny"
79,"You Should Probably Leave","Chris Stapleton"
80,"Rockin' Around The Christmas Tree","Brenda Lee"
81,"Broadway Girls","Lil Durk Featuring Morgan Wallen"
82,"Take My Name","Parmalee"
83,"What Happened To Virgil","Lil Durk Featuring Gunna"
84,"Puffin On Zootiez","Future"
85,"Like I Love Country Music","Kane Brown"
86,"Jingle Bell Rock","Bobby Helms"
87,"Ojitos Lindos","Bad Bunny & Bomba Estereo"
88,"Trouble With A Heartbreak","Jason Aldean"
89,"A Holly Jolly Christmas","Burl Ives"
90,"Kiss Me More","Doja Cat Featuring SZA"
91,"She Likes It","Russell Dickerson & Jake Scott"
92,"Never Say Never","Cole Swindell / Lainey Wilson"
93,"Damn Strait","Scotty McCreery"
94,"She's All I Wanna Be","Tate McRae"
95,"Last Night Lonely","Jon Pardi"
96,"Flower Shops","ERNEST Featuring Morgan Wallen"
97,"To The Moon!","JNR CHOI & Sam Tompkins"
98,"Unholy","Sam Smith & Kim Petras"
99,"One Mississippi","Kane Brown"
100,"Circles Around This Town","Maren Morris"
