year,rank,artist,artist_normalized,has_spotify_match,artist_followers_max,artist_popularity_max,explicit_track_share,mean_track_duration_min,n_tracks_in_dataset,n_tracks_released_in_chart_year,primary_genre,spotify_display_name,track_popularity_max,track_popularity_mean,track_popularity_mean_in_chart_year,track_popularity_min
2017,1,ed sheeran,ed sheeran,True,122802777.0,88.0,0.018867924528301886,3.8866037735849064,53.0,17.0,soft pop,Ed Sheeran,88.0,60.283018867924525,65.0,1.0
2017,2,bruno mars,bruno mars,True,75513910.0,90.0,0.037037037037037035,3.681111111111111,27.0,1.0,,Bruno Mars,88.0,66.4074074074074,75.0,0.0
2017,3,drake,drake,True,103126025.0,95.0,0.8690476190476191,3.8779761904761907,84.0,3.0,rap,Drake,85.0,65.89285714285714,73.66666666666667,0.0
2017,4,kendrick lamar,kendrick lamar,True,44606446.0,89.0,0.7272727272727273,3.427272727272727,11.0,3.0,hip hop,Kendrick Lamar,89.0,72.54545454545455,80.66666666666667,2.0
2017,5,the weeknd,the weeknd,True,113039308.0,94.0,0.49645390070921985,4.3803546099290775,141.0,,r&b pop,The Weeknd,91.0,60.787234042553195,,1.0
2017,6,the chainsmokers,the chainsmokers,True,21360805.0,80.0,0.15789473684210525,3.6215789473684206,19.0,12.0,,The Chainsmokers,86.0,57.73684210526316,55.583333333333336,1.0
2017,7,justin bieber,justin bieber,True,85050158.0,91.0,0.18181818181818182,3.001636363636363,55.0,1.0,pop,Justin Bieber,91.0,66.27272727272727,69.0,0.0
2017,8,future,future,True,22688560.0,88.0,1.0,3.5849999999999995,24.0,2.0,rap,Future,82.0,66.16666666666667,70.5,53.0
2017,9,shawn mendes,shawn mendes,True,45710657.0,81.0,0.043478260869565216,3.2399999999999998,23.0,5.0,,Shawn Mendes,86.0,58.78260869565217,73.0,0.0
2017,10,bts,bts,True,81197976.0,85.0,0.0,3.9226666666666667,30.0,,k-pop,BTS,79.0,57.43333333333333,,0.0
2017,11,coldplay,coldplay,True,60830643.0,88.0,0.0,4.307435897435898,39.0,,,Coldplay,90.0,67.2051282051282,,37.0
2017,12,lil uzi vert,lil uzi vert,True,19260805.0,82.0,1.0,2.9666666666666663,3.0,2.0,melodic rap,Lil Uzi Vert,80.0,66.0,63.0,46.0
2017,13,migos,migos,True,14641094.0,74.0,1.0,4.8919999999999995,5.0,3.0,trap,Migos,71.0,28.4,1.6666666666666667,1.0
2017,14,imagine dragons,imagine dragons,True,58375520.0,85.0,0.0,3.2058823529411766,17.0,3.0,,Imagine Dragons,84.0,56.294117647058826,56.666666666666664,0.0
2017,15,ariana grande,ariana grande,True,107418606.0,90.0,0.4148936170212766,3.3245744680851064,94.0,,pop,Ariana Grande,85.0,63.91489361702128,,0.0
2017,16,guns n' roses,guns n' roses,True,35214496.0,80.0,0.6666666666666666,6.126666666666666,6.0,,rock,Guns N' Roses,82.0,19.333333333333332,,1.0
2017,17,post malone,post malone,True,47726839.0,86.0,0.7108433734939759,3.3266265060240965,83.0,1.0,pop,Post Malone,85.0,61.69879518072289,3.0,0.0
2017,18,u2,u2,True,13593848.0,75.0,0.0,4.14,1.0,,rock,U2,73.0,73.0,,73.0
2017,19,rihanna,rihanna,True,69050055.0,90.0,0.3269230769230769,3.88,52.0,,pop,Rihanna,87.0,65.57692307692308,,0.0
2017,20,dj khaled,dj khaled,True,12343335.0,73.0,1.0,3.9685714285714284,7.0,2.0,,DJ Khaled,72.0,65.42857142857143,65.0,60.0
2017,21,khalid,khalid,True,16946293.0,82.0,0.2222222222222222,3.3755555555555556,9.0,2.0,,Khalid,81.0,66.0,79.0,42.0
2017,22,j. cole,j. cole,True,27077429.0,82.0,1.0,4.1466666666666665,9.0,,rap,J. Cole,85.0,67.44444444444444,,1.0
2017,23,metallica,metallica,True,32177831.0,82.0,0.0,6.3374999999999995,4.0,,metal,Metallica,71.0,37.25,,2.0
