track_name,artist_name,track_popularity,stream_count,release_date,artist_popularity,artist_followers,years_on_billboard,is_superbowl_performer,danceability,energy,valence,loudness,tempo,duration_ms,acousticness,speechiness,instrumentalness,liveness,track_id
!!!!!!!,billie eilish,17.0,,2019-03-29,90.0,118692183.0,0.0,0.0,,,,,,,,,,,0rQtoQXQfwpDW0c7Fw1NeM
#getitright,miley cyrus,44.0,,2013-10-04,81.0,26564677.0,0.0,0.0,,,,,,,,,,,1u6GCyU5atrzrAqwC55og1
#imsippinteainyohood,xxxtentacion,68.0,,2022-06-10,,,0.0,0.0,0.668,0.873,0.455,-4.556,146.006,173320.0,0.0967,0.215,0.000275,0.239,2z6W6oeZvBaO56Mg587v0w
#thatpower,will.i.am,67.0,,2013-01-01,73.0,4427758.0,0.0,0.0,,,,,,,,,,,01TuObJVd7owWchVRuQbQw
&burn (with vince staples),billie eilish,59.0,,2017-12-15,90.0,118728633.0,0.0,0.0,,,,,,,,,,,6X7qcg95CAeJpTjtg1wooM
'til you can't,cody johnson,1.0,,2021-06-11,73.0,1943383.0,0.0,0.0,0.501,0.815,0.46,-4.865,160.087,224213.0,0.05129999999999999,0.0436,0.0,0.106,02HqnDssYA62iGapkpJIkJ
(i can't get no) satisfaction - mono version,the rolling stones,77.0,,1991,77.0,15714574.0,0.0,0.0,0.727,0.85,0.8815,-8.2815,135.9525,222779.5,0.0192935,0.040749999999999995,0.09085,0.1129,2PzU4IB8Dr6mxV3lHuaG34
(i got that) boom boom,britney spears,51.0,,2003-11-13,81.0,17766757.0,0.0,0.0,,,,,,,,,,,5epx5YtoMbV0GrL9qx9kVY
(marie's the name) his latest flame,elvis presley,55.0,,1976,,,0.0,0.0,0.661,0.917,0.893,-6.329,105.289,127093.0,0.565,0.0375,0.00202,0.134,4qbLOU1T7xgTH87eUSkvJ1
(now and then there's) a fool such as i,elvis presley,52.0,,1987,,,0.0,0.0,0.574,0.714,0.722,-6.344,63.623,159360.0,0.901,0.0403,1.7e-05,0.255,6aKzxns1rGMjLSij4PuWhh
"(pick me up) euphoria - from euphoria"" an hbo original series""",james blake,45.0,,2022-01-28,69.0,1551541.0,0.0,0.0,,,,,,,,,,,6QFCgioM2ZDxCEadWUes2b
(what is) love?,jennifer lopez,37.0,,2011-04-29,74.0,13710072.0,0.0,1.0,,,,,,,,,,,1PuC9MYD9goa9IaO0QoQCB
